"Customer Attributes by Aheadworks","Customer Attributes by Aheadworks"
"Customer Attributes","Customer Attributes"
"Text Field","Text Field"
"Text Area","Text Area"
"Multiple Line","Multiple Line"
"Date","Date"
"Yes/No","Yes/No"
"Multiple Select","Multiple Select"
"Dropdown","Dropdown"
"File (attachment)","File (attachment)"
"Image File","Image File"
"Back","Back"
"Delete","Delete"
"Are you sure you want to do this?","Are you sure you want to do this?"
"Reset","Reset"
"Save &amp; Continue Edit","Save &amp; Continue Edit"
"Something went wrong while editing the attribute.","Something went wrong while editing the attribute."
"Edit Attribute","Edit Attribute"
"'New Attribute","'New Attribute"
"The attribute can\'t be deleted.","The attribute can\'t be deleted."
"Attribute Properties","Attribute Properties"
"Attribute","Attribute"
"Frontend Label","Frontend Label"
"Attribute Code","Attribute Code"
"Input Type","Input Type"
"Add to Column Options in the Customers Grid","Add to Column Options in the Customers Grid"
"Use in Filter Options in the Customers Grid","Use in Filter Options in the Customers Grid"
"Use in Search Options in the Customers Grid","Use in Search Options in the Customers Grid"
"Use in the Orders Grid","Use in the Orders Grid"
"Show on the Order View Page","Show on the Order View Page"
"Alphanumeric","Alphanumeric"
"Alphanumeric With Spaces","Alphanumeric With Spaces"
"Numeric Only","Numeric Only"
"Alpha Only","Alpha Only"
"URL","URL"
"Length Only","Length Only"
"Email","Email"
"Input Validation","Input Validation"
"None","None"
"Default Value","Default Value"
"Lines Count","Lines Count"
"Escape HTML Entities","Escape HTML Entities"
"Strip HTML Tags","Strip HTML Tags"
"Input/Output Filter","Input/Output Filter"
"Normalize Date","Normalize Date"
"Maximum Value","Maximum Value"
"Minimum Value","Minimum Value"
"Valid range from 2 to 20.","Valid range from 2 to 20."
"File Extensions","File Extensions"
"Comma separated.","Comma separated."
"Maximum File Size (bytes)","Maximum File Size (bytes)"
"Maximum Image Height (px)","Maximum Image Height (px)"
"Maximum Image Width (px)","Maximum Image Width (px)"
"Values Required","Values Required"
"Display on Forms","Display on Forms"
"Sort Order","Sort Order"
"Customer Registration","Customer Registration"
"Customer Account Edit","Customer Account Edit"
"Admin Checkout","Admin Checkout"
"Show on Storefront","Show on Storefront"
"Storefront Properties","Storefront Properties"
"Get Support","Get Support"
"Readme","Readme"
"Attribute was successfully saved.","Attribute was successfully saved."
"Something went wrong while saving the attribute.","Something went wrong while saving the attribute."
"Default Values","Default Values"
"Manage Labels / Options","Manage Labels / Options"
"Admin Customer Account Edit","Admin Customer Account Edit"
"Manage Labels","Manage Labels"
"Store View","Store View"
"Manage Options","Manage Options"
"Is Default","Is Default"
"Manage Relations","Manage Relations"
"Dependent attribute show up on the front end only when the related primary attribute option is selected.","Dependent attribute show up on the front end only when the related primary attribute option is selected."
"Add","Add"
"Option","Option"
"Dependent Attribute","Dependent Attribute"
"Something went wrong while deleting the attribute.","Something went wrong while deleting the attribute."
"You deleted the attribute.","You deleted the attribute."
"Delete attribute","Delete attribute"
"Are you sure you want to delete selected attribute?","Are you sure you want to delete selected attribute?"
"ID","ID"
"Delete attributes","Delete attributes"
"Are you sure you want to delete selected attributes?","Are you sure you want to delete selected attributes?"
"Add New Attribute","Add New Attribute"
"A total of %1 attribute(s) have been deleted.","A total of %1 attribute(s) have been deleted."
"No attribute have been deleted.","No attribute have been deleted."
"Additional Information","Additional Information"
"Filename is missing.","Filename is missing."
"File not found.","File not found."
"Customer","Customer"
"Customer Address","Customer Address"
"Customer Address Registration","Customer Address Registration"
"Customer Address Edit","Customer Address Edit"
"Customer Address Attributes","Customer Address Attributes"
"Additional Address Information","Additional Address Information"
"Default Value validation problem.","Default Value validation problem."
"Please either set at least one place where to display the attribute, or disable showing it on store front.","Please either set at least one place where to display the attribute, or disable showing it on store front."
"Multi Line attributes is not supported.","Multi Line attributes is not supported."